[09/06/20 09:16:36] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:22:54] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:26:35] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:30:34] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:32:31] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:38:34] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:39:47] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:40:44] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:46:17] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:46:58] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:53:32] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:56:26] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:56:48] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:57:22] [INFO] received Windows console close event; shutting log-core down
[09/06/20 09:58:40] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:00:09] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:01:22] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:02:47] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:03:50] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:05:27] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:08:36] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:10:05] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:10:59] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:11:46] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:12:39] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:14:37] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:17:50] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:19:06] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:19:51] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:20:38] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:22:45] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:30:50] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:31:07] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:32:24] [INFO] received Windows console close event; shutting log-core down
[09/06/20 10:32:50] [INFO] received Windows console close event; shutting log-core down
